,region,name
0,Texas,Abilene Christian University
1,Texas,Abilene Christian University-Undergraduate Online
2,California,Abraham Lincoln University
3,Minnesota,Academy College
4,California,Academy of Art University
5,Colorado,Adams State University
6,New York,Adelphi University
7,Illinois,Adler University
8,Michigan,Adrian College
9,Florida,AdventHealth University
10,Georgia,Agnes Scott College
11,Florida,AI Miami International University of Art and Design
12,Alabama,Alabama A & M University
13,Alabama,Alabama State University
14,Alaska,Alaska Bible College
15,Alaska,Alaska Pacific University
16,New York,Albany College of Pharmacy and Health Sciences
17,Georgia,Albany State University
18,Connecticut,Albertus Magnus College
19,Michigan,Albion College
20,Florida,Albizu University-Miami
21,Pennsylvania,Albright College
22,Mississippi,Alcorn State University
23,West Virginia,Alderson Broaddus University
24,New York,Alfred University
25,Kentucky,Alice Lloyd College
26,Pennsylvania,Allegheny College
27,Ohio,Allegheny Wesleyan College
28,Iowa,Allen College
29,South Carolina,Allen University
30,California,Alliant International University-San Diego
31,Michigan,Alma College
32,Pennsylvania,Alvernia University
33,Wisconsin,Alverno College
34,Texas,Amberton University
35,California,America Evangelical University
36,Illinois,American Academy of Art College
37,Tennessee,American Baptist College
38,Indiana,American College of Education
39,South Carolina,American College of the Building Arts
40,Arizona,American InterContinental University
41,Georgia,American InterContinental University-Atlanta
42,Texas,American InterContinental University-Houston
43,Massachusetts,American International College
44,Illinois,American Islamic College
45,California,American Jewish University
46,West Virginia,American Public University System
47,Connecticut,American Sentinel College of Nursing and Health Sciences
48,District of Columbia,American University
49,California,American University of Health Sciences
50,Massachusetts,Amherst College
51,Alabama,Amridge University
52,Florida,Ana G. Mendez University
53,Indiana,Anderson University
54,South Carolina,Anderson University
55,Michigan,Andrews University
56,Texas,Angelo State University
57,Massachusetts,Anna Maria College
58,Ohio,Antioch College
59,Ohio,Antioch University
60,California,Antioch University-Los Angeles
61,California,Antioch University-Santa Barbara
62,Washington,Antioch University-Seattle
63,West Virginia,Appalachian Bible College
64,North Carolina,Appalachian State University
65,Michigan,Aquinas College
66,Pennsylvania,Arcadia University
67,Arizona,Arizona Christian University
68,Texas,Arizona College of Nursing-Dallas
69,Florida,Arizona College of Nursing-Fort Lauderdale
70,Nevada,Arizona College of Nursing-Las Vegas
71,Arizona,Arizona College of Nursing-Phoenix
72,Utah,Arizona College of Nursing-Salt Lake City
73,Florida,Arizona College of Nursing-Tampa
74,Arizona,Arizona College of Nursing-Tempe
75,Arizona,Arizona College of Nursing-Tempe
76,Arizona,Arizona College of Nursing-Tucson
77,Arizona,Arizona State University Campus Immersion
78,Arizona,Arizona State University Digital Immersion
79,Arkansas,Arkansas Baptist College
80,Arkansas,Arkansas State University
81,Texas,Arlington Baptist University
82,Ohio,Art Academy of Cincinnati
83,California,Art Center College of Design
84,Kentucky,Asbury University
85,California,Ashford University
86,Ohio,Ashland University
87,Arizona,Aspen University
88,Massachusetts,Assumption University
89,Alabama,Athens State University
90,California,ATI College-Whittier
91,Florida,Atlantic Institute of Oriental Medicine
92,Florida,Atlantis University
93,Alabama,Auburn University
94,Alabama,Auburn University at Montgomery
95,Minnesota,Augsburg University
96,Georgia,Augusta University
97,Illinois,Augustana College
98,South Dakota,Augustana University
99,Illinois,Aurora University
100,Texas,Austin College
101,Texas,Austin Graduate School of Theology
102,Tennessee,Austin Peay State University
103,Florida,Ave Maria University
104,Virginia,Averett University
105,Missouri,Avila University
106,California,Azusa Pacific University
107,Massachusetts,Babson College
108,Oklahoma,Bacone College
109,New York,Bais Binyomin Academy
110,Maryland,Bais HaMedrash and Mesivta of Baltimore
111,New York,Bais Medrash Elyon
112,New Jersey,Bais Medrash Toras Chesed
113,Michigan,Baker College
114,Kansas,Baker University
115,Ohio,Baldwin Wallace University
116,Indiana,Ball State University
117,Missouri,Baptist Bible College
118,Tennessee,Baptist Health Sciences University
119,Texas,Baptist Missionary Association Theological Seminary
120,Texas,Baptist University of the Americas
121,Kansas,Barclay College
122,New York,Bard College
123,New York,Barnard College
124,Missouri,Barnes-Jewish College Goldfarb School of Nursing
125,Florida,Barry University
126,North Carolina,Barton College
127,Washington,Bastyr University
128,Maine,Bates College
129,Massachusetts,Bay Path University
130,Texas,Baylor University
131,New York,Be'er Yaakov Talmudic Seminary
132,Florida,Beacon College
